Year,Country,alpha_3,Region,Latitude,Longitude,Sonnenscheindauer
1931,Switzerland,CHE,Davos,46.802746,9.83597,1767.6
1932,Switzerland,CHE,Davos,46.802746,9.83597,1770.6
1933,Switzerland,CHE,Davos,46.802746,9.83597,1647.9
1934,Switzerland,CHE,Davos,46.802746,9.83597,1826.2
1935,Switzerland,CHE,Davos,46.802746,9.83597,1592.0
1936,Switzerland,CHE,Davos,46.802746,9.83597,1477.2
1937,Switzerland,CHE,Davos,46.802746,9.83597,1418.5
1938,Switzerland,CHE,Davos,46.802746,9.83597,1747.6
1939,Switzerland,CHE,Davos,46.802746,9.83597,1457.5
1940,Switzerland,CHE,Davos,46.802746,9.83597,1573.0
1941,Switzerland,CHE,Davos,46.802746,9.83597,1644.3
1942,Switzerland,CHE,Davos,46.802746,9.83597,1773.5
1943,Switzerland,CHE,Davos,46.802746,9.83597,1788.5
1944,Switzerland,CHE,Davos,46.802746,9.83597,1558.8
1945,Switzerland,CHE,Davos,46.802746,9.83597,1786.0
1946,Switzerland,CHE,Davos,46.802746,9.83597,1693.6
1947,Switzerland,CHE,Davos,46.802746,9.83597,1789.5
1948,Switzerland,CHE,Davos,46.802746,9.83597,1762.4
1949,Switzerland,CHE,Davos,46.802746,9.83597,1851.6
1950,Switzerland,CHE,Davos,46.802746,9.83597,1696.0
1951,Switzerland,CHE,Davos,46.802746,9.83597,1558.9
1952,Switzerland,CHE,Davos,46.802746,9.83597,1527.6
1953,Switzerland,CHE,Davos,46.802746,9.83597,1762.2
1954,Switzerland,CHE,Davos,46.802746,9.83597,1392.8
1955,Switzerland,CHE,Davos,46.802746,9.83597,1601.9
1956,Switzerland,CHE,Davos,46.802746,9.83597,1654.0
1957,Switzerland,CHE,Davos,46.802746,9.83597,1697.0
1958,Switzerland,CHE,Davos,46.802746,9.83597,1683.3
1959,Switzerland,CHE,Davos,46.802746,9.83597,1753.2
1960,Switzerland,CHE,Davos,46.802746,9.83597,1536.8
1961,Switzerland,CHE,Davos,46.802746,9.83597,1853.6
1962,Switzerland,CHE,Davos,46.802746,9.83597,1915.3
1963,Switzerland,CHE,Davos,46.802746,9.83597,1630.6
1964,Switzerland,CHE,Davos,46.802746,9.83597,1714.3
1965,Switzerland,CHE,Davos,46.802746,9.83597,1500.6
1966,Switzerland,CHE,Davos,46.802746,9.83597,1572.9
1967,Switzerland,CHE,Davos,46.802746,9.83597,1759.9
1968,Switzerland,CHE,Davos,46.802746,9.83597,1712.2
1969,Switzerland,CHE,Davos,46.802746,9.83597,1712.5
